anyseed,baseline,district,id_village_grp,slope,flat,random,gossip,trusted,trustgossip,created_year,created_month,nchildren
1,1,Bhiwani,1_01_02_V01Y_0,TRUE,FALSE,1,0,0,0,2017,3,24
1,1,Bhiwani,1_01_02_V01Y_0,TRUE,FALSE,1,0,0,0,2017,4,22
1,1,Bhiwani,1_01_02_V01Y_0,TRUE,FALSE,1,0,0,0,2017,5,14
1,1,Bhiwani,1_01_02_V01Y_0,TRUE,FALSE,1,0,0,0,2017,6,19
1,1,Bhiwani,1_01_02_V01Y_0,TRUE,FALSE,1,0,0,0,2017,7,26
1,1,Bhiwani,1_01_02_V01Y_0,TRUE,FALSE,1,0,0,0,2017,8,27
1,1,Bhiwani,1_01_02_V01Y_0,TRUE,FALSE,1,0,0,0,2017,9,17
1,1,Bhiwani,1_01_02_V01Y_0,TRUE,FALSE,1,0,0,0,2017,10,34
1,1,Bhiwani,1_01_02_V01Y_0,TRUE,FALSE,1,0,0,0,2017,11,36
1,1,Bhiwani,1_01_02_V01Y_0,TRUE,FALSE,1,0,0,0,2017,12,36
1,1,Bhiwani,1_01_02_V01Y_0,TRUE,FALSE,1,0,0,0,2018,1,27
1,1,Bhiwani,1_01_02_V01Y_0,TRUE,FALSE,1,0,0,0,2018,2,40
1,1,Bhiwani,1_01_02_V01Y_0,TRUE,FALSE,1,0,0,0,2018,3,36
1,1,Bhiwani,1_01_03_V01Y_0,FALSE,TRUE,0,0,0,1,2017,3,14
1,1,Bhiwani,1_01_03_V01Y_0,FALSE,TRUE,0,0,0,1,2017,4,12
1,1,Bhiwani,1_01_03_V01Y_0,FALSE,TRUE,0,0,0,1,2017,5,19
1,1,Bhiwani,1_01_03_V01Y_0,FALSE,TRUE,0,0,0,1,2017,6,16
1,1,Bhiwani,1_01_03_V01Y_0,FALSE,TRUE,0,0,0,1,2017,7,18
1,1,Bhiwani,1_01_03_V01Y_0,FALSE,TRUE,0,0,0,1,2017,8,27
1,1,Bhiwani,1_01_03_V01Y_0,FALSE,TRUE,0,0,0,1,2017,9,12
1,1,Bhiwani,1_01_03_V01Y_0,FALSE,TRUE,0,0,0,1,2017,10,10
1,1,Bhiwani,1_01_03_V01Y_0,FALSE,TRUE,0,0,0,1,2017,11,14
1,1,Bhiwani,1_01_03_V01Y_0,FALSE,TRUE,0,0,0,1,2017,12,24
1,1,Bhiwani,1_01_03_V01Y_0,FALSE,TRUE,0,0,0,1,2018,1,17
1,1,Bhiwani,1_01_03_V01Y_0,FALSE,TRUE,0,0,0,1,2018,2,20
1,1,Bhiwani,1_01_03_V01Y_0,FALSE,TRUE,0,0,0,1,2018,3,20
1,1,Bhiwani,1_01_03_V02Y_0,FALSE,TRUE,0,0,0,1,2017,3,6
1,1,Bhiwani,1_01_03_V02Y_0,FALSE,TRUE,0,0,0,1,2017,4,6
1,1,Bhiwani,1_01_03_V02Y_0,FALSE,TRUE,0,0,0,1,2017,5,9
1,1,Bhiwani,1_01_03_V02Y_0,FALSE,TRUE,0,0,0,1,2017,6,6
1,1,Bhiwani,1_01_03_V02Y_0,FALSE,TRUE,0,0,0,1,2017,7,8
1,1,Bhiwani,1_01_03_V02Y_0,FALSE,TRUE,0,0,0,1,2017,8,2
1,1,Bhiwani,1_01_03_V02Y_0,FALSE,TRUE,0,0,0,1,2017,9,4
1,1,Bhiwani,1_01_03_V02Y_0,FALSE,TRUE,0,0,0,1,2017,10,11
1,1,Bhiwani,1_01_03_V02Y_0,FALSE,TRUE,0,0,0,1,2017,11,9
