id_phc,gossip,trusted,trustgossip,random,highslope,highflat,lowslope,lowflat,id_village_grp,district,created_year,created_month,shot_Penta1,shot_Penta2,shot_Penta3,shot_Measles1,nchildren,SMS33,SMS66
1_01,0,0,0,1,0,0,1,0,1_01_02_V01Y_0,Bhiwani,2017,3,3,9,7,2,24,0,1
1_01,0,0,0,1,0,0,1,0,1_01_02_V01Y_0,Bhiwani,2017,4,7,2,5,8,22,0,1
1_01,0,0,0,1,0,0,1,0,1_01_02_V01Y_0,Bhiwani,2017,5,3,5,2,4,14,0,1
1_01,0,0,0,1,0,0,1,0,1_01_02_V01Y_0,Bhiwani,2017,6,5,3,7,4,19,0,1
1_01,0,0,0,1,0,0,1,0,1_01_02_V01Y_0,Bhiwani,2017,7,2,5,1,7,26,0,1
1_01,0,0,0,1,0,0,1,0,1_01_02_V01Y_0,Bhiwani,2017,8,8,3,7,4,27,0,1
1_01,0,0,0,1,0,0,1,0,1_01_02_V01Y_0,Bhiwani,2017,9,1,5,2,4,17,0,1
1_01,0,0,0,1,0,0,1,0,1_01_02_V01Y_0,Bhiwani,2017,10,10,3,5,4,34,0,1
1_01,0,0,0,1,0,0,1,0,1_01_02_V01Y_0,Bhiwani,2017,11,3,9,4,6,36,0,1
1_01,0,0,0,1,0,0,1,0,1_01_02_V01Y_0,Bhiwani,2017,12,13,5,8,5,36,0,1
1_01,0,0,0,1,0,0,1,0,1_01_02_V01Y_0,Bhiwani,2018,1,5,10,3,3,27,0,1
1_01,0,0,0,1,0,0,1,0,1_01_02_V01Y_0,Bhiwani,2018,2,9,6,8,8,40,0,1
1_01,0,0,0,1,0,0,1,0,1_01_02_V01Y_0,Bhiwani,2018,3,6,12,6,4,36,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V01Y_0,Bhiwani,2017,3,2,4,5,2,14,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V01Y_0,Bhiwani,2017,4,5,3,4,1,12,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V01Y_0,Bhiwani,2017,5,3,3,2,9,19,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V01Y_0,Bhiwani,2017,6,3,4,3,3,16,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V01Y_0,Bhiwani,2017,7,6,6,4,2,18,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V01Y_0,Bhiwani,2017,8,4,3,7,7,27,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V01Y_0,Bhiwani,2017,9,2,2,3,5,12,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V01Y_0,Bhiwani,2017,10,2,4,1,1,10,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V01Y_0,Bhiwani,2017,11,3,4,3,2,14,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V01Y_0,Bhiwani,2017,12,2,4,2,3,24,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V01Y_0,Bhiwani,2018,1,3,4,4,1,17,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V01Y_0,Bhiwani,2018,2,7,3,2,4,20,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V01Y_0,Bhiwani,2018,3,6,6,2,1,20,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V02Y_0,Bhiwani,2017,3,3,2,0,1,6,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V02Y_0,Bhiwani,2017,4,1,1,2,1,6,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V02Y_0,Bhiwani,2017,5,1,4,1,4,9,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V02Y_0,Bhiwani,2017,6,2,1,2,1,6,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V02Y_0,Bhiwani,2017,7,0,1,3,3,8,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V02Y_0,Bhiwani,2017,8,2,0,1,0,2,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V02Y_0,Bhiwani,2017,9,3,0,0,1,4,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V02Y_0,Bhiwani,2017,10,3,4,1,3,11,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V02Y_0,Bhiwani,2017,11,1,2,4,1,9,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V02Y_0,Bhiwani,2017,12,2,1,3,1,8,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V02Y_0,Bhiwani,2018,1,3,3,0,1,7,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V02Y_0,Bhiwani,2018,2,0,2,2,0,7,0,1
1_01,0,0,1,0,0,1,0,0,1_01_03_V02Y_0,Bhiwani,2018,3,1,1,1,2,6,0,1
1_01,0,0,1,0,0,1,0,0,1_01_05_V01Y_0,Bhiwani,2017,3,6,8,9,8,31,0,1
1_01,0,0,1,0,0,1,0,0,1_01_05_V01Y_0,Bhiwani,2017,4,2,6,5,5,20,0,1
1_01,0,0,1,0,0,1,0,0,1_01_05_V01Y_0,Bhiwani,2017,5,4,3,6,6,22,0,1
1_01,0,0,1,0,0,1,0,0,1_01_05_V01Y_0,Bhiwani,2017,6,7,4,4,6,23,0,1
1_01,0,0,1,0,0,1,0,0,1_01_05_V01Y_0,Bhiwani,2017,7,8,7,8,7,35,0,1
1_01,0,0,1,0,0,1,0,0,1_01_05_V01Y_0,Bhiwani,2017,8,3,6,6,5,27,0,1
1_01,0,0,1,0,0,1,0,0,1_01_05_V01Y_0,Bhiwani,2017,9,6,5,6,4,24,0,1
1_01,0,0,1,0,0,1,0,0,1_01_05_V01Y_0,Bhiwani,2017,10,11,10,5,6,37,0,1
1_01,0,0,1,0,0,1,0,0,1_01_05_V01Y_0,Bhiwani,2017,11,6,8,5,2,28,0,1
1_01,0,0,1,0,0,1,0,0,1_01_05_V01Y_0,Bhiwani,2017,12,7,7,8,4,38,0,1
1_01,0,0,1,0,0,1,0,0,1_01_05_V01Y_0,Bhiwani,2018,1,8,3,7,3,26,0,1
1_01,0,0,1,0,0,1,0,0,1_01_05_V01Y_0,Bhiwani,2018,2,8,12,8,5,43,0,1
1_01,0,0,1,0,0,1,0,0,1_01_05_V01Y_0,Bhiwani,2018,3,5,8,10,6,34,0,1
1_02,0,0,1,0,0,0,1,0,1_02_01_V03Y_0,Bhiwani,2017,3,0,1,2,2,5,1,0
1_02,0,0,1,0,0,0,1,0,1_02_01_V03Y_0,Bhiwani,2017,4,0,1,1,0,2,1,0
1_02,0,0,1,0,0,0,1,0,1_02_01_V03Y_0,Bhiwani,2017,5,0,0,2,0,2,1,0
1_02,0,0,1,0,0,0,1,0,1_02_01_V03Y_0,Bhiwani,2017,6,0,0,0,2,2,1,0
1_02,0,0,1,0,0,0,1,0,1_02_01_V03Y_0,Bhiwani,2017,7,1,0,1,1,3,1,0
1_02,0,0,1,0,0,0,1,0,1_02_01_V03Y_0,Bhiwani,2017,8,1,0,0,2,3,1,0
1_02,0,0,1,0,0,0,1,0,1_02_01_V03Y_0,Bhiwani,2017,9,1,1,0,1,3,1,0
1_02,0,0,1,0,0,0,1,0,1_02_01_V03Y_0,Bhiwani,2017,10,0,0,1,1,2,1,0
1_02,0,0,1,0,0,0,1,0,1_02_01_V03Y_0,Bhiwani,2017,11,0,2,0,0,5,1,0
1_02,0,0,1,0,0,0,1,0,1_02_01_V03Y_0,Bhiwani,2017,12,3,0,1,0,4,1,0
1_02,0,0,1,0,0,0,1,0,1_02_01_V03Y_0,Bhiwani,2018,2,3,1,0,0,4,1,0
1_02,0,0,1,0,0,0,1,0,1_02_01_V03Y_0,Bhiwani,2018,3,1,3,1,0,6,1,0
1_02,0,0,0,1,1,0,0,0,1_02_02_V02Y_1,Bhiwani,2017,2,0,0,0,2,2,1,0
1_02,0,0,0,1,1,0,0,0,1_02_02_V02Y_1,Bhiwani,2017,3,10,4,4,5,26,1,0
1_02,0,0,0,1,1,0,0,0,1_02_02_V02Y_1,Bhiwani,2017,4,4,7,4,2,17,1,0
1_02,0,0,0,1,1,0,0,0,1_02_02_V02Y_1,Bhiwani,2017,5,3,5,11,6,26,1,0
1_02,0,0,0,1,1,0,0,0,1_02_02_V02Y_1,Bhiwani,2017,6,2,3,6,6,18,1,0
1_02,0,0,0,1,1,0,0,0,1_02_02_V02Y_1,Bhiwani,2017,7,9,1,4,8,23,1,0
1_02,0,0,0,1,1,0,0,0,1_02_02_V02Y_1,Bhiwani,2017,8,1,8,3,6,19,1,0
1_02,0,0,0,1,1,0,0,0,1_02_02_V02Y_1,Bhiwani,2017,9,8,3,7,9,30,1,0
1_02,0,0,0,1,1,0,0,0,1_02_02_V02Y_1,Bhiwani,2017,10,2,5,3,2,12,1,0
1_02,0,0,0,1,1,0,0,0,1_02_02_V02Y_1,Bhiwani,2017,11,6,2,4,3,16,1,0
1_02,0,0,0,1,1,0,0,0,1_02_02_V02Y_1,Bhiwani,2017,12,9,8,3,3,29,1,0
1_02,0,0,0,1,1,0,0,0,1_02_02_V02Y_1,Bhiwani,2018,1,4,2,3,3,14,1,0
1_02,0,0,0,1,1,0,0,0,1_02_02_V02Y_1,Bhiwani,2018,2,10,9,5,6,33,1,0
1_02,0,0,0,1,1,0,0,0,1_02_02_V02Y_1,Bhiwani,2018,3,4,3,6,6,29,1,0
1_02,0,0,0,1,1,0,0,0,1_02_03_V02Y_1,Bhiwani,2017,2,2,3,0,1,6,0,1
1_02,0,0,0,1,1,0,0,0,1_02_03_V02Y_1,Bhiwani,2017,3,6,7,8,2,25,0,1
1_02,0,0,0,1,1,0,0,0,1_02_03_V02Y_1,Bhiwani,2017,4,8,5,7,5,26,0,1
1_02,0,0,0,1,1,0,0,0,1_02_03_V02Y_1,Bhiwani,2017,5,1,5,5,3,16,0,1
1_02,0,0,0,1,1,0,0,0,1_02_03_V02Y_1,Bhiwani,2017,6,5,2,6,8,22,0,1
1_02,0,0,0,1,1,0,0,0,1_02_03_V02Y_1,Bhiwani,2017,7,2,5,4,4,15,0,1
1_02,0,0,0,1,1,0,0,0,1_02_03_V02Y_1,Bhiwani,2017,8,1,3,2,5,13,0,1
1_02,0,0,0,1,1,0,0,0,1_02_03_V02Y_1,Bhiwani,2017,9,5,1,2,6,14,0,1
1_02,0,0,0,1,1,0,0,0,1_02_03_V02Y_1,Bhiwani,2017,10,6,2,1,8,21,0,1
1_02,0,0,0,1,1,0,0,0,1_02_03_V02Y_1,Bhiwani,2017,11,4,9,3,6,24,0,1
1_02,0,0,0,1,1,0,0,0,1_02_03_V02Y_1,Bhiwani,2017,12,4,0,4,5,16,0,1
1_02,0,0,0,1,1,0,0,0,1_02_03_V02Y_1,Bhiwani,2018,1,5,7,5,1,24,0,1
1_02,0,0,0,1,1,0,0,0,1_02_03_V02Y_1,Bhiwani,2018,2,9,6,8,2,27,0,1
1_02,0,0,0,1,1,0,0,0,1_02_03_V02Y_1,Bhiwani,2018,3,4,6,5,1,21,0,1
1_02,1,0,0,0,0,0,1,0,1_02_05_V02Y_0,Bhiwani,2017,3,0,0,4,1,6,1,0
1_02,1,0,0,0,0,0,1,0,1_02_05_V02Y_0,Bhiwani,2017,4,3,2,1,2,8,1,0
1_02,1,0,0,0,0,0,1,0,1_02_05_V02Y_0,Bhiwani,2017,5,1,2,2,0,5,1,0
1_02,1,0,0,0,0,0,1,0,1_02_05_V02Y_0,Bhiwani,2017,6,0,0,2,3,5,1,0
1_02,1,0,0,0,0,0,1,0,1_02_05_V02Y_0,Bhiwani,2017,7,0,2,0,1,3,1,0
1_02,1,0,0,0,0,0,1,0,1_02_05_V02Y_0,Bhiwani,2017,8,1,0,1,1,3,1,0
1_02,1,0,0,0,0,0,1,0,1_02_05_V02Y_0,Bhiwani,2017,9,0,1,0,4,5,1,0
1_02,1,0,0,0,0,0,1,0,1_02_05_V02Y_0,Bhiwani,2017,10,0,0,0,1,1,1,0
1_02,1,0,0,0,0,0,1,0,1_02_05_V02Y_0,Bhiwani,2017,11,1,0,0,1,2,1,0
1_02,1,0,0,0,0,0,1,0,1_02_05_V02Y_0,Bhiwani,2018,2,5,2,1,2,10,1,0
1_02,1,0,0,0,0,0,1,0,1_02_05_V02Y_0,Bhiwani,2018,3,3,1,0,0,8,1,0
1_03,0,0,0,1,1,0,0,0,1_03_02_V02Y_0,Bhiwani,2017,3,0,1,1,4,6,0,1
1_03,0,0,0,1,1,0,0,0,1_03_02_V02Y_0,Bhiwani,2017,4,4,0,3,2,9,0,1
1_03,0,0,0,1,1,0,0,0,1_03_02_V02Y_0,Bhiwani,2017,5,1,3,0,1,5,0,1
1_03,0,0,0,1,1,0,0,0,1_03_02_V02Y_0,Bhiwani,2017,6,3,1,0,4,8,0,1
1_03,0,0,0,1,1,0,0,0,1_03_02_V02Y_0,Bhiwani,2017,7,6,1,3,4,14,0,1
1_03,0,0,0,1,1,0,0,0,1_03_02_V02Y_0,Bhiwani,2017,8,2,3,1,0,6,0,1
1_03,0,0,0,1,1,0,0,0,1_03_02_V02Y_0,Bhiwani,2017,9,0,5,3,3,11,0,1
1_03,0,0,0,1,1,0,0,0,1_03_02_V02Y_0,Bhiwani,2017,10,3,2,2,0,7,0,1
1_03,0,0,0,1,1,0,0,0,1_03_02_V02Y_0,Bhiwani,2017,11,5,2,2,1,10,0,1
1_03,0,0,0,1,1,0,0,0,1_03_02_V02Y_0,Bhiwani,2017,12,2,1,3,1,9,0,1
1_03,0,0,0,1,1,0,0,0,1_03_02_V02Y_0,Bhiwani,2018,1,0,5,1,1,9,0,1
1_03,0,0,0,1,1,0,0,0,1_03_02_V02Y_0,Bhiwani,2018,2,4,0,4,4,12,0,1
1_03,0,0,0,1,1,0,0,0,1_03_02_V02Y_0,Bhiwani,2018,3,4,4,2,3,17,0,1
1_03,1,0,0,0,0,0,1,0,1_03_06_V05Y_0,Bhiwani,2017,3,2,5,1,2,10,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V05Y_0,Bhiwani,2017,4,2,0,2,1,6,0,0
1_03,1,0,0,0,0,0,1,0,1_03_06_V05Y_0,Bhiwani,2017,5,,,,,1,0,0
