		(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	LABELS	SCST	Laborer	Land Owner	Electrified	Private Electricity	Own House	No. of Rooms
								
gossip	Gossip Nominee	-0.0278	-0.0729	0.0793	0.0173	0.0455	0.0197	0.229
		(0.0258)	(0.0189)	(0.0241)	(0.00637)	(0.0173)	(0.00810)	(0.0492)
elder	Elder Nominee	-0.107	-0.217	0.291	0.0196	0.0903	0.0262	0.687
		(0.0250)	(0.0215)	(0.0279)	(0.00636)	(0.0227)	(0.00744)	(0.0849)
								
Observations		13,660	13,660	13,660	13,660	13,660	13,590	13,590
Random Household Mean		0.377	0.406	0.275	0.962	0.727	0.948	2.846
Gossip = Elder p-val		0.0382	3.32e-05	2.03e-06	0.820	0.174	0.577	6.02e-05
