		(1)	(2)	(3)	(4)	(5)
		RF	OLS	IV 1: First Stage	IV 2: First Stage	IV: Second Stage
VARIABLES	LABELS	Calls Received	Calls Received	At least 1 Gossip	At least 1 Elder	Calls Received
						
gossip	Gossip Treatment	2.266		0.636	0.331	
		(3.116)		(0.0660)	(0.0821)	
elder	Elder Treatment	-2.809		0.220	0.846	
		(2.577)		(0.0807)	(0.0502)	
atleast_gossip_1	At least 1 Gossip		5.005			6.122
			(2.210)			(4.532)
atleast_elder_1	At least 1 Elder		-0.619			-4.914
			(2.472)			(2.628)
						
Observations		213	213	213	213	213
Control Group Mean		9.534	6.277	0.400	0.180	7.971
Gossip Treatment=Elder Treatment (pval.)		0.0300		0	0	
At least 1 Gossip=At least 1 Elder (pval.)			0.160			0.0300
