		(1)	(2)	(3)	(4)	(5)
		RF	OLS	IV 1: First Stage	IV 2: First Stage	IV: Second Stage
VARIABLES	LABELS	$\frac{\mbox{Calls Received}}{\mbox{Seeds}}$	$\frac{\mbox{Calls Received}}{\mbox{Seeds}}$	At least 1 Gossip	At least 1 Elder	$\frac{\mbox{Calls Received}}{\mbox{Seeds}}$
						
gossip	Gossip Treatment	1.593		0.795	0.430	
		(1.030)		(0.0753)	(0.108)	
gossip5	5 Gossip Seeds	-1.083		-0.303	-0.206	
		(1.348)		(0.110)	(0.153)	
elder	Elder Treatment	0.622		0.370	0.872	
		(0.770)		(0.106)	(0.0685)	
elder5	5 Elder Seeds	-1.430		-0.272	-0.0578	
		(0.912)		(0.149)	(0.100)	
atleast_gossip_1	At least 1 Gossip		0.952			2.169
			(0.501)			(1.043)
atleast_elder_1	At least 1 Elder		0.309			-0.676
			(0.511)			(0.578)
						
Observations		212	212	212	212	212
Control Group Mean		1.953	1.451	0.389	0.183	1.186
