		(1)	(2)	(3)	(4)	(5)
VARIABLES	LABELS	Event	Event	Event	Event	Event
						
DC7_norm_union	Diffusion Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \	0.285				
		(0.060)				
degree_norm_union	Degree Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \		0.250			
			(0.061)			
eig_norm_union	Eigenvector Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \			0.283		
				(0.064)		
leader	Leader				0.436	
					(0.168)	
gps_sd	Geographic Centrality					-0.024
						(0.040)
						
Observations		6,466	6,466	6,466	6,466	6,466
