		(1)	(2)	(3)	(4)	(5)
VARIABLES	LABELS	Loan	Loan	Loan	Loan	Loan
						
DC7_norm_union	Diffusion Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \	0.391				
		(0.071)				
degree_norm_union	Degree Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \		0.367			
			(0.065)			
eig_norm_union	Eigenvector Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \			0.378		
				(0.074)		
leader	Leader				0.653	
					(0.224)	
gps_sd	Geographic Centrality					-0.045
						(0.030)
						
Observations		6,466	6,466	6,466	6,466	6,466
