		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	Loan	Loan	Loan	Loan	Loan	Loan
							
DC7_norm_union	Diffusion Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \	0.310	0.266	0.366	0.391	0.175	0.310
		(0.112)	(0.089)	(0.071)	(0.071)	(0.124)	(0.112)
degree_norm_union	Degree Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \	0.091				0.098	0.091
		(0.079)				(0.079)	(0.079)
eig_norm_union	Eigenvector Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \		0.138			0.144	
			(0.089)			(0.087)	
leader	Leader			0.461			
				(0.229)			
gps_sd	Geographic Centrality				-0.045		
					(0.031)		
							
Observations		6,466	6,466	6,466	6,466	6,466	6,466
Post-LASSO							\checkmark
