		(1)	(2)	(3)	(4)	(5)
VARIABLES	LABELS	Event	Event	Event	Event	Event
						
DC7_norm_union	Diffusion Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \	0.607				
		(0.085)				
degree_norm_union	Degree Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \		0.460			
			(0.078)			
eig_norm_union	Eigenvector Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \			0.605		
				(0.094)		
leader	Leader				0.915	
					(0.279)	
gps_sd	Geographic Centrality					-0.078
						(0.139)
						
Observations		6,466	6,466	6,466	6,466	6,466
