		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	Event	Event	Event	Event	Event	Event
							
DC7_norm_union	Diffusion Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \	0.642	0.354	0.567	0.606	0.374	0.607
		(0.127)	(0.176)	(0.091)	(0.085)	(0.206)	(0.085)
degree_norm_union	Degree Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \	-0.039				-0.020	
		(0.101)				(0.101)	
eig_norm_union	Eigenvector Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \		0.283			0.281	
			(0.186)			(0.186)	
leader	Leader			0.535			
				(0.301)			
gps_sd	Geographic Centrality				-0.078		
					(0.145)		
							
Observations		6,466	6,466	6,466	6,466	6,466	6,466
Post-LASSO							\checkmark
