		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	Loan	Loan	Loan	Loan	Loan	Loan
							
DC7_norm_union	Diffusion Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \	0.560	0.431	0.578	0.624	0.339	0.560
		(0.122)	(0.130)	(0.081)	(0.075)	(0.170)	(0.122)
degree_norm_union	Degree Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \	0.070				0.088	0.070
		(0.086)				(0.084)	(0.086)
eig_norm_union	Eigenvector Centrality (12 dimensions) \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \ \		0.219			0.231	
			(0.138)			(0.138)	
leader	Leader			0.623			
				(0.288)			
gps_sd	Geographic Centrality				-0.114		
					(0.092)		
							
Observations		6,466	6,466	6,466	6,466	6,466	6,466
Post-LASSO							\checkmark
