		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	Nominated	Nominated	Nominated	Nominated	Nominated	Nominated
							
perc_H_ji	Percentile of Network Gossip $ j,i $	0.256	0.245	0.348	0.356	0.068	0.080
		(0.090)	(0.105)	(0.049)	(0.057)	(0.030)	(0.032)
							
Observations		665,301	665,301	665,301	665,301	665,301	665,301
Dep. var mean		0.382	0.382	0.382	0.382	0.382	0.382
Respondent FE			\checkmark		\checkmark		\checkmark
Rankee FE						\checkmark	\checkmark
Flexible Controls for DC				\checkmark	\checkmark		
